model_name,model_size,context_length,temperature,top_p,average_tokens_per_sec,average_latency_sec,average_peak_ram_gb,success_rate,speed_score,memory_efficiency_score,feasibility_score,quality_score_normalized,partial_score_used,feasibility_status,final_score,reason_for_selection,speed_rank,memory_rank,final_rank
llama3.2:1b,1B,1024,0.2,0.8,45.4498,7.8764,8.313,1.0,0.9124,0.4804,1.0,,True,smooth,0.8064,"Balanced partial score from speed, memory efficiency, and feasibility",2,3,1
llama3.2:1b,1B,2048,0.7,0.95,45.5576,8.0476,8.3879,1.0,0.9145,0.4758,1.0,,True,smooth,0.8058,"Balanced partial score from speed, memory efficiency, and feasibility",1,4,2
qwen2.5:3b,3B,2048,0.2,0.8,29.9278,14.2177,7.3926,1.0,0.6008,0.538,1.0,,True,smooth,0.7043,"Balanced partial score from speed, memory efficiency, and feasibility",4,2,3
qwen2.5:3b,3B,2048,0.2,0.95,31.2503,13.6815,8.8887,1.0,0.6273,0.4445,1.0,,True,smooth,0.6857,"Balanced partial score from speed, memory efficiency, and feasibility",3,6,4
llama3.2:3b,3B,2048,0.2,0.8,29.8801,12.4253,8.6861,1.0,0.5998,0.4571,1.0,,True,smooth,0.679,"Balanced partial score from speed, memory efficiency, and feasibility",5,5,5
llama3.2:3b,3B,2048,0.7,0.8,17.4077,22.7745,7.3175,1.0,0.3494,0.5427,0.85,,True,smooth,0.5629,"Balanced partial score from speed, memory efficiency, and feasibility",6,1,6
mistral:7b,7B,1024,0.7,0.95,14.5232,24.6455,9.8237,1.0,0.2915,0.386,0.8444,,True,smooth,0.4907,"Balanced partial score from speed, memory efficiency, and feasibility",7,7,7
mistral:7b,7B,2048,0.7,0.95,13.8502,26.0087,10.0599,1.0,0.278,0.3713,0.8278,,True,smooth,0.4759,"Balanced partial score from speed, memory efficiency, and feasibility",8,8,8
